food_name,protein,province,carbohydrate
고사리나물무침,4,6,6
고춧잎나물무침,4,5,7
깻잎나물,3,6,5
냉이나물,4,2,11
도라지나물무침,2,8,13
돌나물무침,2,3,8
머위대나물무침,4,3,5
무나물무침,1,0,4
방풍나물무침,4,2,11
배추나물,2,1,5
비름나물무침,3,4,6
숙주나물,2,1,2
시금치나물,2,2,4
시래기나물무침,4,7,8
씀바귀나물무침,4,2,17
열무나물,3,3,4
유채나물,3,2,4
참나물,3,2,19
취나물,6,1,15
콩나물무침,3,3,3
토란대나물무침,5,3,4
호박오가리나물무침,6,10,21
가죽나물무침,6,1,10
겉절이,2,3,5
골뱅이무침,6,1,13
굴무침,7,2,7
김무침,12,7,14
낙지무침,12,1,4
냉채,9,1,7
다시마무침,3,1,7
달래무침,3,2,11
도라지생채,3,1,13
두릅무침,2,3,8
마늘쫑무침,2,3,14
무말랭이무침,3,1,23
무생채,2,1,7
묵무침,1,2,10
물회,5,2,7
미나리무침,1,2,5
미역초무침,2,1,8
민들레잎무침,3,2,12
버섯무침,3,4,3
부추무침,2,2,6
북어채무침,26,3,10
샐러드,5,6,12
양장피,7,7,11
오이무침,2,0,5
오이생채,1,1,7
오이지무침,1,2,4
오징어무침,6,1,6
오징어채무침,18,4,21
톳나물무침,2,2,12
파래무침,3,1,7
파무침,2,3,10
풋고추된장무침,2,7,12
풋마늘무침,3,1,10
피조개무침,5,1,6
해초무침,1,0,9
회무침,9,1,10
고들빼기김치,3,1,17
깍두기,2,1,4
깻잎김치,3,2,10
나박김치,0,0,1
동치미,0,0,2
물김치,0,0,1
보쌈김치,2,1,4
부추김치,3,2,7
얼갈이배추김치,2,1,8
오이김치,2,1,6
가자미식해,11,5,12
갈치젓,16,5,10
멸치젓,11,2,7
새우젓,7,2,6
오징어젓,10,1,3
꽃게장,9,1,9
단무지,0,0,2
더덕장아찌,4,1,29
매실장아찌,1,1,35
무짠지,1,0,2
무초절임(치킨무),1,0,3
오이장아찌,0,0,3
오이지,1,1,3
미숫가루,18,6,65
육회,10,6,8
또띠아,12,9,30
앙금빵,7,8,57
와플,1,3,8
크림빵,5,20,22
토스트,10,18,28
프레즐,10,8,52
핫도그,9,16,30
허니브레드,10,20,171
비스킷/쿠키/크래커,8,23,63
웨이퍼,6,25,66
젤리,3,1,64
초콜릿,7,37,49
캔디,4,8,78
빙수,4,3,24
샤베트,2,3,22
아이스크림,3,11,22
요구르트(액상),3,3,15
과ㆍ채주스,0,0,12
라떼,2,3,13
레몬차,1,0,11
마테차,0,0,0
밀크티/버블티,2,2,11
사과차,0,0,28
스무디,1,3,19
식혜,1,1,14
아이스티,0,0,12
에이드,0,0,13
유자차,0,0,12
자몽차,0,0,15
자몽홍차,0,0,14
커피,2,2,6
코코아,2,5,10
콤부차,0,0,10
홍차,0,0,0
견과,18,38,38
소시지,15,17,7
계란덮밥,4,3,25
곤드레나물밥,3,3,28
귀리밥,6,4,36
누룽지,7,1,79
리조또,3,11,17
묵밥,2,1,14
새우튀김롤,5,6,32
쌀밥,3,0,37
연어롤,6,5,25
연잎밥,4,0,47
오곡밥,5,1,33
잡탕밥,6,3,14
짜장밥,4,2,23
충무김밥,6,1,27
캘리포니아롤,4,3,30
개피떡(바람떡),4,1,45
기피편,5,0,49
모싯잎송편,6,1,40
무지개떡,4,0,53
빙떡(메밀전병),6,6,22
수수경단,8,1,43
수수부꾸미,6,6,42
수수팥떡,7,1,43
쑥떡,3,0,58
찰시루떡,7,0,38
다식,8,4,74
다쿠아즈,8,27,43
마카롱,7,23,50
버터크림빵,8,18,46
크로켓(고로케),7,16,31
매작과,8,13,66
산자,2,3,82
약과,4,5,85
유과,3,13,74
기스면,4,1,9
라멘,4,4,9
막국수,4,1,21
메밀소바,4,2,20
밀면,2,0,14
볶음면,7,12,14
분짜,6,4,20
비빔국수,3,2,20
비빔면,6,5,20
쌀국수,5,1,61
올갱이국수,1,1,7
울면,4,1,13
탄탄면,6,7,21
팟타이,6,9,21
게살죽,2,1,13
깨죽,2,2,10
미음,0,0,5
백합죽,2,1,12
소고기버섯죽,2,1,14
쌀죽(흰죽),1,0,12
어죽,3,1,13
율무죽,0,0,10
잣죽,3,3,22
참깨죽,1,1,6
참치죽,3,2,13
현미죽,1,0,15
